country,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01
BE,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,29.6
DE,56.8,56.7,56.7,56.0,51.6,51.6,38.3,38.3,39.6,38.3,38.4,38.4,38.4,29.4,29.4,29.5,29.6,29.6,29.6,29.7,29.8,29.8,29.9,29.9
EE,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,23.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0
IE,40.0,38.0,36.0,32.0,28.0,24.0,20.0,16.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
EL,40.0,40.0,40.0,40.0,40.0,40.0,37.5,35.0,35.0,35.0,32.0,29.0,25.0,35.0,35.0,24.0,20.0,20.0,26.0,26.0,29.0,29.0,29.0,29.0
ES,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,32.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,25.0,25.0,25.0
FR,36.7,36.7,41.7,41.7,40.0,37.8,36.4,35.4,35.4,35.4,35.0,34.4,34.4,34.4,34.4,34.4,36.1,36.1,38.0,38.0,38.0,34.4,44.4,34.4
IT,52.2,53.2,53.2,41.3,41.3,41.3,40.3,40.3,38.3,37.3,37.3,37.3,37.3,31.4,31.4,31.4,31.4,31.3,31.3,31.3,31.3,31.3,27.8,27.8
CY,25.0,25.0,25.0,25.0,25.0,29.0,28.0,28.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.5,12.5,12.5,12.5,12.5,12.5
LV,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0
LT,29.0,29.0,29.0,29.0,29.0,24.0,24.0,15.0,15.0,15.0,15.0,19.0,18.0,15.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LU,40.9,40.9,39.3,37.5,37.5,37.5,37.5,30.4,30.4,30.4,30.4,29.6,29.6,29.6,28.6,28.6,28.8,28.8,29.2,29.2,29.2,29.2,27.1,26.0
MT,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
NL,35.0,35.0,35.0,35.0,35.0,35.0,35.0,34.5,34.5,34.5,31.5,29.6,25.5,25.5,25.5,25.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
AT,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
PT,39.6,39.6,39.6,37.4,37.4,35.2,35.2,33.0,33.0,27.5,27.5,27.5,26.5,26.5,26.5,29.0,29.0,31.5,31.5,31.5,29.5,29.5,29.5,31.5
SI,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.0,22.0,21.0,20.0,20.0,18.0,17.0,17.0,17.0,17.0,19.0,19.0
SK,40.0,40.0,40.0,40.0,40.0,29.0,29.0,25.0,25.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,23.0,22.0,22.0,22.0,21.0,21.0
FI,25.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.5,24.5,20.0,20.0,20.0,20.0,20.0
